,关注房源人数,总价,平米价,面积,建造时间,室,厅,梯户比例,梯,户,产权年限,海景,地铁,公交,轻轨,购物,银行,饭店,学区,采光,休闲
关注房源人数,1.0,0.252244250438469,0.2036383889932886,0.15908986079686752,0.069506296191561,0.11909093165153259,0.08179984441259507,0.0944508929553801,0.07284041723905145,-0.017516787165297747,0.06170535897914617,-0.014742107266910387,0.12446442619502282,0.14303653433068492,-0.003994550970320525,0.1382149948950154,0.10233005484055774,0.04683015943540484,-0.0009871700326013334,0.08934643454601486,0.15286089252053012
总价,0.252244250438469,1.0,0.7339122711812569,0.721976034899186,0.30738284080096895,0.5547160475897791,0.45099329643920294,0.49461355125693474,0.07683035038068387,-0.35337396886544786,0.18416947985453463,0.0914755801162185,0.1096762959388114,0.023327171233341763,-0.10536476735447815,-0.008262656959847346,0.051185921544076966,-0.01562971818638213,0.013686457043515874,0.029810769177200578,0.1449183034392013
平米价,0.2036383889932886,0.7339122711812569,1.0,0.11545834300321493,0.16449770468759317,0.10393582123651066,0.07770738176435914,0.15981871470006156,0.12091291623358744,-0.07054015321174302,0.33519317720403446,0.029480515558437014,0.28468152191745705,-0.02589211906790835,-0.16271236940696837,-0.07043448522809574,0.020836943135630632,-0.04882784191393074,0.005007517357012131,-0.017006044996180917,0.12740642618071144
面积,0.15908986079686752,0.721976034899186,0.11545834300321493,1.0,0.31267447532282194,0.7382918696895684,0.6392830958947423,0.5979739876924826,-0.014990576665794111,-0.4851187915468389,-0.05105244040296071,0.1102251977984471,-0.12924651558879016,0.05858494947414938,0.0029819263493360065,0.043000303721145314,0.057201071447459,0.037167313013569944,0.02690680618274331,0.06585489362415228,0.08868841443515521
建造时间,0.069506296191561,0.30738284080096895,0.16449770468759317,0.31267447532282194,1.0,0.05401900140948283,0.18950413295161944,0.2944346793257912,0.5171771769186344,0.11622784769051163,-0.16546930008195063,0.10757325527515173,-0.13579659164816454,0.06138520124655785,0.13737343782764638,0.052629517190838554,0.0521561644158408,0.043046592476047564,0.004502114626186992,0.05342890057614938,0.1045865007547359
室,0.11909093165153259,0.5547160475897791,0.10393582123651066,0.7382918696895684,0.05401900140948283,1.0,0.48247387777690603,0.4427958763195932,-0.18546173648431763,-0.47508739966666874,0.041426772902112684,0.07769189776805603,-0.049011670807826827,0.019133083062694234,-0.036949358362995934,0.007741776318651565,0.01850536559301733,-0.005543398188118172,-0.0012872546840257248,-0.0025296949140260726,0.05211203360420774
厅,0.08179984441259507,0.45099329643920294,0.07770738176435914,0.6392830958947423,0.18950413295161944,0.48247387777690603,1.0,0.45707477918333367,-0.13814413427925318,-0.4626979317041143,0.016753715042766217,0.0591179286670881,-0.11751314369112004,0.008386163768167565,-0.04167049342023148,0.019797143957262016,-0.011525854289475841,0.026761980516967685,0.007984246532601364,0.042798206215875996,0.03495161676960045
梯户比例,0.0944508929553801,0.49461355125693474,0.15981871470006156,0.5979739876924826,0.2944346793257912,0.4427958763195932,0.45707477918333367,1.0,0.09464481161059701,-0.676874603379523,-0.0349493459256464,0.12495834265678345,-0.07743120807387949,0.050785257993704,0.004600254377503979,0.03982332521364798,0.04042254361022874,0.007253721406972945,0.02276746280755898,0.0822809038676782,0.06141289512825429
梯,0.07284041723905145,0.07683035038068387,0.12091291623358744,-0.014990576665794111,0.5171771769186344,-0.18546173648431763,-0.13814413427925318,0.09464481161059701,1.0,0.5764879013677089,-0.21481154780059766,0.12495122875000707,0.05136085579141487,0.039553327742449615,0.12419308554792009,-0.023349525046394325,0.016525011796692697,0.04198223113855929,-0.03045367201528529,-0.013227853462314726,0.07201982295176858
户,-0.017516787165297747,-0.35337396886544786,-0.07054015321174302,-0.4851187915468389,0.11622784769051163,-0.47508739966666874,-0.4626979317041143,-0.676874603379523,0.5764879013677089,1.0,-0.12732684029869012,0.0021235254427645193,0.06644228411578458,-0.00352417403834456,0.09303157420262254,-0.03462495849592769,-0.014611515074784724,0.01288897431446327,-0.033687769124821285,-0.06876825679142223,0.015448258705227128
