关注房源人数,总价,平米价,精简装,面积,建造时间,室,厅,小区名称,所在大区域,所在小区域,建筑类型,建筑结构,梯户比例,梯,户,产权年限,户型结构,海景,地铁,公交,轻轨,购物,银行,饭店,学区,采光,休闲,经度,纬度
96,78.0,9584.7,精,81.38,2014.0,2.0,1.0,观山悦$,金州,金润$,板塔结合$,钢混,0.5,2.0,4.0,70.0,跃层,0,1,1,1,0,0,0,0,1,0,121.74099222934906,39.10777997613847
109,67.5,10233.5,简,65.96,2005.0,2.0,2.0,龙畔金泉四期$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,1.0,2.0,70.0,复式,0,1,0,0,0,0,0,0,0,0,121.62763557896044,39.00132439975652
147,60.8,9743.6,精,62.4,2000.0,2.0,1.0,锦江园西北路$,沙河口,锦绣$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,1,0,0,1,1,104.08956175659785,30.661904490317255
129,132.8,15180.6,精,87.48,2012.0,2.0,1.0,润泽园$,甘井子,泉水美域盛景$,板楼$,钢混,0.2857142857142857,2.0,7.0,70.0,平层,0,1,1,1,1,0,0,0,0,1,121.80248030726933,39.05074422097938
219,88.0,11224.5,精,78.4,2000.0,2.0,1.0,马栏广场$,沙河口,马栏$,塔楼$,砖混,0.07142857142857142,1.0,14.0,70.0,平层,0,1,1,0,1,0,0,0,0,1,121.56196642607793,38.92675217952642
93,106.0,11831.7,精,89.59,2008.0,2.0,1.0,龙畔金泉五期K4区$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,0,0,0,1,1,121.62763557896044,39.00132439975652
172,68.5,13489.6,精,50.78,1995.0,2.0,1.0,南沙$,沙河口,南沙$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,1,1,1,0,1,0,113.5314355437236,22.807929296528254
80,89.0,13401.6,精,66.41,2000.0,2.0,1.0,西苑新区$,沙河口,马栏$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,复式,0,1,1,0,1,0,0,0,0,1,0,0
19,32.0,5462.6,精,58.58,2014.0,1.0,1.0,世茂御龙海湾$,金州,金州其他$,塔楼$,钢混,0.16666666666666666,2.0,12.0,70.0,平层,1,0,0,0,0,0,1,0,1,1,121.64875099197283,39.18012336992442
36,44.3,7910.7,精,56.0,2009.0,2.0,1.0,新希望家园$,金州,城润$,板塔结合$,钢混,0.2222222222222222,2.0,9.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.75030429243509,39.06032095790547
