关注房源人数,总价,平米价,精简装,面积,建造时间,室,厅,小区名称,所在大区域,所在小区域,建筑类型,建筑结构,梯户比例,梯,户,产权年限,户型结构,海景,地铁,公交,轻轨,购物,银行,饭店,学区,采光,休闲
96,78.0,9584.7,精,81.38,2014.0,2.0,1.0,观山悦$,金州,金润$,板塔结合$,钢混,0.5,2.0,4.0,70.0,跃层,0,1,1,1,0,0,0,0,1,0
109,67.5,10233.5,简,65.96,2005.0,2.0,2.0,龙畔金泉四期$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,1.0,2.0,70.0,复式,0,1,0,0,0,0,0,0,0,0
147,60.8,9743.6,精,62.4,2000.0,2.0,1.0,锦江园西北路$,沙河口,锦绣$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,1,0,0,1,1
129,132.8,15180.6,精,87.48,2012.0,2.0,1.0,润泽园$,甘井子,泉水美域盛景$,板楼$,钢混,0.2857142857142857,2.0,7.0,70.0,平层,0,1,1,1,1,0,0,0,0,1
219,88.0,11224.5,精,78.4,2000.0,2.0,1.0,马栏广场$,沙河口,马栏$,塔楼$,砖混,0.07142857142857142,1.0,14.0,70.0,平层,0,1,1,0,1,0,0,0,0,1
93,106.0,11831.7,精,89.59,2008.0,2.0,1.0,龙畔金泉五期K4区$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,0,0,0,1,1
172,68.5,13489.6,精,50.78,1995.0,2.0,1.0,南沙$,沙河口,南沙$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,1,1,1,0,1,0
80,89.0,13401.6,精,66.41,2000.0,2.0,1.0,西苑新区$,沙河口,马栏$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,复式,0,1,1,0,1,0,0,0,0,1
19,32.0,5462.6,精,58.58,2014.0,1.0,1.0,世茂御龙海湾$,金州,金州其他$,塔楼$,钢混,0.16666666666666666,2.0,12.0,70.0,平层,1,0,0,0,0,0,1,0,1,1
36,44.3,7910.7,精,56.0,2009.0,2.0,1.0,新希望家园$,金州,城润$,板塔结合$,钢混,0.2222222222222222,2.0,9.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
250,106.8,14173.9,精,75.35,2006.0,2.0,2.0,锦城园C区$,沙河口,锦华$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,1,1
39,56.0,8582.4,精,65.25,2000.0,2.0,2.0,金湖里$,开发区,倚山里$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,1,0,0,0,0,0,0,0
164,86.0,12647.1,精,68.0,2003.0,2.0,1.0,华东路（山东路商圈）$,甘井子,山东路$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,0,1
196,128.0,12733.8,简,100.52,2012.0,2.0,1.0,华润海中国二期$,开发区,华润海中国$,板楼$,钢混,0.6666666666666666,2.0,3.0,50.0,平层,0,0,1,0,1,1,0,0,0,1
35,96.0,11428.6,简,84.0,2008.0,2.0,1.0,今都小区$,甘井子,华东$,板塔结合$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,0,0,0,0,0,0,0,0,0
53,115.0,14773.9,精,77.84,2010.0,2.0,1.0,远洋自然$,甘井子,华南$,板塔结合$,钢混,0.5,2.0,4.0,70.0,平层,0,1,0,0,0,0,0,0,1,1
61,55.0,11282.1,简,48.75,1990.0,2.0,1.0,星海公园$,沙河口,孙家沟$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,1,1,0,0,0,1
27,119.0,13632.7,精,87.29,2005.0,2.0,1.0,山海一家一期$,高新园区,华录$,塔楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,1,0,1,1,0,1,1,1
64,133.0,8717.9,精,152.56,1999.0,5.0,2.0,纪念东巷$,西岗,唐山街$,板楼$,框架,0.3333333333333333,1.0,3.0,70.0,跃层,0,0,1,0,0,0,0,0,0,0
108,115.0,15648.4,精,73.49,2007.0,2.0,1.0,隽佳欣苑$,甘井子,机场$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,0,1,0,1,0,0,0,0,1
20,85.8,10931.3,精,78.49,2000.0,2.0,1.0,商城花园$,甘井子,山东路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0
15,61.0,9849.8,简,61.93,2003.0,2.0,1.0,泡崖美林园$,甘井子,美林园$,板楼$,混合,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,0,1
